cohortId,atlasId,atlasName,name,description,cite,isNew,hyperlink
26,563,Chest pain,outcome/Chest_pain_angina,The first condition record of chest pain or angina,[@Zaher2004],no,
27,564,Chronic kidney disease,outcome/Chronic_kidney_disease,"The first condition record of chronic kidney disease, which is followed by either another chronic kidney disease condition record or a dialysis procedure or observation ",[@Winkelmayer2005-jh;@Chase2010;@Fraccaro2016;@Frigaard2019;@Holzmann2016;@Luong2017;@Muntner2015;@Nadkarni2014;@Robertson2016],no,
28,565,Cough,outcome/Cough,Cough condition record of any type; successive records with > 90 day gap are considered independent episodes ,[@Chen2016; @Fathima2017],no,
29,566,Decreased libido,outcome/Decreased_libido,The first condition record of decreased libido,[@Masterson2019],no,
30,567,Dementia,outcome/Dementia,The first condition record of dementia,[@Ostbye2008;@Sibbett2017;@Amra2017;@Jaakkimainen2016;@Kosteniuk2015;@McGuinness2019;@Williamson2014],no,
31,568,Depression,outcome/Depression,"The first condition record of depression, which is followed by another depression condition record, at least two drugs used to treat depression without another indication, or two psychotherapy procedures ",[@John2016;@Marrie2016;@Williamson2014;@Alaghehbandan2012;@Cepeda2018;@Davidson2018;@Doktorchik2019],no,
32,569,Diarrhea,outcome/Diarrhea,Diarrhea condition record of any type; successive records with > 30 day gap are considered independent episodes,[@Buono2017-rg;@Krishnarajah2016-af;@Panozzo2014-tt],no,{[}\protect\hyperlink{ref-Buono2017-rg}{86}--\protect\hyperlink{ref-Panozzo2014-tt}{88}{]}
33,570,End stage renal disease,outcome/End_stage_renal_disease,"End stage renal disease (ESRD) is defined by at least one diagnosis in any setting, followed by at least one additional diagnosis or a dialysis-related procedure within 90 days ",[@Chen2017-bb; @Muntner2015;@Shen2017],no,
34,571,Fall,outcome/Fall,Fall condition record of any type; successive records with >180 day gap are considered independent episodes,[@Homer2017; @Kim2018; @McCoy2017],no,
35,572,Gastrointestinal bleeding,outcome/Gastrointestinal_bleeding,Gastrointestinal hemorrhage condition record during an inpatient or ER visit; successive records with > 30 day gap are considered independent episodes ,[@Goldstein2003-mx; @Wahl2010; @Curtis2011; @Lanza1995; @Lin2011; @Patorno2017; @Valkhoff2014],no,
36,573,Genitourinary infection,outcome/Genitourinary_infection,Condition record of any type of genital or urinary tract infection during an outpatient or ER vists,[@Nichols2017-ah],no,{[}\protect\hyperlink{ref-Nichols2017-ah}{89}{]}
37,574,Gout,outcome/Gout,The first condition record of gout,[@Cadzow2017; @Harrold2007; @MacFarlane2016; @Malik2009],no,
38,575,Headache,outcome/Headache,Headache condition record of any type; successive records with > 30 day gap are considered independent episodes,[@Hurwitz2016; @Rizzoli2016],no,
39,576,Hepatic failure,outcome/Hepatic_failure,"The first condition record of hepatic failure, necrosis, or coma",[@Bui2014; @Cheetham2014; @Jinjuvadia2007; @LoRe2015; @LoRe2013; @Overby2013; @Udo2016; @Wing2016],no,
40,577,Hyperkalemia,outcome/Hyperkalemia,Condition record for hyperkalemia or potassium measurements > 5.6 mmol/L; successive records with >90 day gap are considered independent episodes,[@Abbas2015;@Betts2018;@Fitch2017],no,{[}\protect\hyperlink{ref-Abbas2015}{90}--\protect\hyperlink{ref-Fitch2017}{92}{]}
41,578,Hypoglycemia,outcome/Hypoglycemia,Hypoglycemia condition record of any type; successive records with > 90 day gap are considered independent episodes,[@leonard2018comparative],yes,{[}\protect\hyperlink{ref-leonard2018comparative}{93}{]}
42,579,Hypokalemia,outcome/Hypokalemia,Hypokalemia condition record of any type; successive records with > 90 day gap are considered independent episodes,[@Krogager2017],no,
43,580,Hypomagnesemia,outcome/Hypomagnesemia,Hypomagnesemia condition record of any type; successive records with > 90 day gap are considered independent episodes ,[@Koulouridis2013; @Markovits2014],no,
44,581,Hyponatremia,outcome/Hyponatremia,Hyponatremia condition record of any type; successive records with > 90 day gap are considered independent episodes,[@Movig2003; @Shea2008],no,
45,582,Hypotension,outcome/Hypotension,Hypotension condition record of any type; successive records with > 90 day gap are considered independent episodes,[@Chrischilles2001-ak],no,{[}\protect\hyperlink{ref-Chrischilles2001-ak}{94}{]}
46,583,Impotence,outcome/Impotence,The first condition record of impotence,[@Bekelman2011; @Frederick2014; @McVary2008; @Mulhall2016],no,
47,584,Insomnia,outcome/Insomnia,The first condition record of insomnia,,no,
48,585,Interstitial lung disease,outcome/Interstitial_lung_disease,The first condition record of Interstitial lung disease,[@jones2012-pds;@ye2022-pds],yes,
49,586,Lung Cancer,outcome/Lung_cancer,Primary malignant neoplasm of lung condition record of any type; limited to earliest event per person,[@Beyrer2020-pds],yes,
50,587,Malignant neoplasm,outcome/Malignant_neoplasm,"First occurrence of malignant neoplasm, followed by at least one additional diagnosis of the same type (melanoma, bladder, brain, breast, colon and rectum, kidney, leukemia, liver, lung, lymphoma, multiple myeloma, ovary, pancreas, prostate, thyroid, uterus, myelodysplastic syndrome) ",[@Czwikla2017; @Abraha2018; @Abraha2018a; @Baldi2008; @CeaSoriano2016; @Creighton2016; @Dregan2012; @Goldsbury2017; @Gupta2018; @Kim2013; @Nordstrom2012; @Stavrou2012; @Goldberg2013],no,"{[}\protect\hyperlink{ref-Ryan2018-ci}{44},\protect\hyperlink{ref-Yuan2018-am}{48}{]}"
51,588,Measured renal dysfunction,outcome/Measured_renal_dysfunction,First creatinine measurement with value > 3 mg/dL,[@Rhee2015-mm],no,
52,589,Nausea,outcome/Nausea,Nausea condition record of any type; successive records with > 30 day gap are considered independent episodes,[@Goldstein2003-mx;@Donga2017-vh;@Marrett2016-rr],no,
53,590,Neutropenia or agranulocytosis,outcome/Neutropenia_or_agranulocytosis,The first condition record of neutropenia or agranulocytosis,[@Kim2011; @Weycker2013],no,{[}\protect\hyperlink{ref-Rhee2015-mm}{75}{]}
54,591,Non-melanoma skin cancer,outcome/3pt_MACE,Primary non-melanoma skin cancer record of any type; limited to earliest event per person,[@anselmo2018-ejd],yes,{[}\protect\hyperlink{ref-Goldstein2003-mx}{95}--\protect\hyperlink{ref-Marrett2016-rr}{97}{]}
55,592,Open-Angle glaucoma,outcome/Open_angle_glaucoma,The first condition record of open-angle glaucoma,[@biggerstaff2018-oe],no,
56,593,Peripheral edema,outcome/Edema,Edema condition record of any type; successive records with > 180 day gap are considered independent episodes,,yes,
57,594,Photosensitivity,outcome/Photosensitivity,Condition record of drug-induced photosensitivity during any type of visit,,yes,
58,595,Pneumonitis,outcome/Pneumonitis,Pneumonitis records of any type; limited to earliest event per person. successive records with > 180 day gap are considered independent episodes,[@jones2012-pds;@neibart2021-pds],yes,
59,596,Pulmonary fibrosis,outcome/Pulmonary_fibrosis,Pulmonary fibrosis records of any type; limited to earliest event per person,[@jones2012-pds],yes,
60,597,Rash,outcome/Rash,Rash condition record of any type; successive records with >90 day gap are considered independent episodes,[@Schneider2012a],no,
61,598,Rhabdomyolysis,outcome/Rhabdomyolysis,Rhabdomyolysis condition record or muscle disorder condition record with creatine measurement 5*ULN during an inpatient or ER visit; successive records with >90 day gap are considered independent episodes ,[@Andrade2005; @Chan2017],no,
62,599,Seizure,outcome/Seizure,Seizure records of any type; limited to earliest event per person,,no,
63,600,Stevens-Johnson syndrome and toxic epidermal necrolysis,outcome/Stevens_Johnson_syndrome,The first condition record of Stevens-Johnson Syndrome or toxic epidermal necrolysis (TENS),[@eisenberg2012-pds;@davis2015-pds;@frey2017-pds],yes,
64,601,Suicide and suicidal ideation,outcome/Suicide,The first condition record of suicide or suicidal ideation,,no,
65,602,Syncope,outcome/Syncope,Syncope condition record of any type; successive records with > 180 day gap are considered independent episodes,[@Chrischilles2001-ak],no,
66,603,Thrombocytopenia,outcome/Thrombocytopenia,The first condition record of thrombocytopenia,[@Donga2017; @Wahl2010a; @Moulis2016],no,
67,604,Tinnitus,outcome/Tinnitus,The first condition record of Tinnitis,,no,
68,605,Type 2 diabetes mellitus,outcome/Type_2_diabetes_mellitus,"The first condition record of Type 2 Diabetes Mellitus, which is followed by another Type 2 Diabetes Mellitus condition record, at least 2 drugs used to treat Type 2 diabetes, or at least 2 HbA1c measurements with value >6.5% ",[@Williamson2014; @Khokhar2016; @Leong2013; @Chen2010],no,
69,606,Vasculitis,outcome/Vasculitis,"The first condition record of vasculitis, which is followed by another vasculitis condition record or drug to treat vasculiits",[@Thorpe2018;@England2017],no,
70,607,Venous thromboembolism,outcome/Venous_thromboembolic_events,Venous thromboembolism condition record of any type; successive records with > 180 day gap are considered independent episodes,[@Tamariz2012b;@Burwen2017;@Coleman2016;@Ammann2018b],no,
71,608,Vertigo,outcome/Vertigo,The first condition record of vertigo,[@Koo2016],no,
72,609,Vomiting,outcome/Vomiting,Vomiting condition record of any type; successive records with > 30 day gap are considered independent episodes,[@Goldstein2003-mx;@Donga2017-vh;@Marrett2016-rr],no,
